name,type,country,city,details,coordinates,latitude,longitude,searches_within_500m,conversions_within_500m,conversion_rate,stashpoints_within_500m
Quartier des Quinze-Vingts,Neighbourhood,France,Paris,,"48.84866359999999, 2.372581",48.8486636,2.372581,55,3,0.05454545455,8
Museo del Baile Flamenco,Museum,Spain,Sevilla,"A museum dedicated to the art of flamenco, showcasing its history, costumes, and performances.","37.3889396, -5.9911628",37.3889396,-5.9911628,55,2,0.03636363636,8
Roma Trastevere Station & Bus Terminal,,Italy,Rome,,"41.8725904, 12.4660855",41.8725904,12.4660855,55,4,0.07272727273,3
Market-Frankford / Jefferson Station,,United States,Philadelphia,,"39.9525, -75.1580556",39.9525,-75.1580556,55,1,0.01818181818,4
O2 Arena,,Czech Republic,Prague,,"50.104819, 14.4936272",50.104819,14.4936272,54,5,0.09259259259,3
Santa Cruz de Tenerife Bus Station,Bus Station,Spain,Tenerife,"The largest and busiest bus station in Tenerife, connecting the city with other major destinations on the island.","28.4636296, -16.2518467",28.4636296,-16.2518467,54,1,0.01851851852,2
Museo de la Naturaleza y el Hombre,Museum,Spain,Tenerife,"A natural history museum in Santa Cruz de Tenerife, housing a diverse collection of artifacts and exhibits related to the history and culture of the Canary Islands.","28.463895, -16.249485",28.463895,-16.249485,54,1,0.01851851852,0
Plaza de la Constitución,,Spain,Malaga,,"19.432642, -99.1333215",19.432642,-99.1333215,54,5,0.09259259259,2
Santa Cruz de Tenerife City Centre,City Center,Spain,Tenerife,"The primary city square in Santa Cruz de Tenerife, known for its lively atmosphere and cultural events.","28.4636296, -16.2518467",28.4636296,-16.2518467,54,1,0.01851851852,2
Museum of Nature and Man,Museum,Spain,Tenerife,A museum showcasing the natural and cultural history of the Canary Islands.,"28.463895, -16.249485",28.463895,-16.249485,54,1,0.01851851852,0
Santa Cruz de Tenerife Tram,Train Station,Spain,Canary Islands,"The main tram station in Santa Cruz de Tenerife, connecting the city to other parts of the island.","28.4636296, -16.2518467",28.4636296,-16.2518467,54,1,0.01851851852,2
Teatro Cervantes,Theatre,Spain,Malaga,"A historic theatre in Malaga, known for its performances of opera, ballet, and theatre.","36.7247805, -4.418622099999999",36.7247805,-4.4186221,54,1,0.01851851852,8
Zurich Bus Station,Bus Station,Switzerland,Zurich,The main bus station in Zurich serving national and international routes.,"47.38097459999999, 8.5373094",47.3809746,8.5373094,54,2,0.03703703704,2
Santa Cruz de Tenerife Railway Station,Train Station,Spain,Tenerife,The main train station in the capital city of Tenerife.,"28.4636296, -16.2518467",28.4636296,-16.2518467,54,1,0.01851851852,2
Zócalo Fan Festival,,Mexico,Mexico City,,"19.432642, -99.1333215",19.432642,-99.1333215,54,5,0.09259259259,2
Museo de la Naturaleza y el Hombre,Museum,Spain,Canary Islands,"A natural history museum located in Santa Cruz de Tenerife, showcasing the biodiversity and rich culture of the Canary Islands.","28.463895, -16.249485",28.463895,-16.249485,54,1,0.01851851852,0
Jardin du Luxembourg,Landmark,France,Paris,"A beautiful park in Paris, known for its gardens and statues.","48.8466144, 2.3363309",48.8466144,2.3363309,53,5,0.09433962264,2
Gare Montparnasse,Train Station,France,Paris,"One of the six major train stations in Paris, serving as a hub for regional and high-speed trains.","48.8418065, 2.3213266",48.8418065,2.3213266,53,1,0.01886792453,5
Alfama,City Center,Portugal,Lisbon,"The oldest district in Lisbon, known for its narrow streets, traditional architecture, and lively atmosphere.","38.7124976, -9.1303235",38.7124976,-9.1303235,53,4,0.07547169811,17
Adolfo Suárez Madrid-Barajas Airport,Airport,Spain,Madrid,The main international airport serving Madrid and one of the busiest airports in Europe.,"40.4895147, -3.5642764",40.4895147,-3.5642764,52,0,0,0
South Bank Parklands,Tourist Attraction,Australia,Brisbane,"A popular recreational destination in Brisbane, featuring a man-made beach, gardens, and cultural events.","-27.4753665, 153.0208068",-27.4753665,153.0208068,52,7,0.1346153846,1
Anaheim Regional Transportation Intermodal Center (ARTIC),Train Station,United States,Los Angeles,,"34.0549076, -118.242643",34.0549076,-118.242643,52,1,0.01923076923,0
La Giralda,,Spain,Sevilla,,"37.3861784, -5.992613700000001",37.3861784,-5.9926137,52,1,0.01923076923,8
Seville Cathedral,Landmark,Spain,Sevilla,"The largest Gothic cathedral in the world, housing the tomb of Christopher Columbus.","37.3858247, -5.9931068",37.3858247,-5.9931068,52,1,0.01923076923,8
Catedral de Sevilla,,Spain,Sevilla,,"37.3858247, -5.9931068",37.3858247,-5.9931068,52,1,0.01923076923,8
Metrolink Anaheim,,United States,Los Angeles,,"34.0549076, -118.242643",34.0549076,-118.242643,52,1,0.01923076923,0
Archivo de Indias,Museum,Spain,Sevilla,"A museum showcasing Spain's history in the New World, located in a beautiful building in the historic center of Seville.","37.384628, -5.993258099999999",37.384628,-5.9932581,52,1,0.01923076923,6
Ahmanson Theatre,Theatre,United States,Los Angeles,,"34.0549076, -118.242643",34.0549076,-118.242643,52,1,0.01923076923,0
Adolfo Suárez Madrid–Barajas Airport,Airport,Spain,Madrid,The main international airport serving Madrid and the busiest airport in Spain.,"40.4895147, -3.5642764",40.4895147,-3.5642764,52,0,0,0
Carfax Tower,Landmark,United Kingdom,Oxford,"A 12th-century tower that is one of the oldest buildings in Oxford, offering panoramic views of the city.","51.7519168, -1.2580782",51.7519168,-1.2580782,52,6,0.1153846154,8
Estadio Ciudad de México,,Mexico,Mexico City,,"19.4326077, -99.133208",19.4326077,-99.133208,52,5,0.09615384615,0
Orly Airport,Airport,France,Paris,"The second largest international airport in Paris, located south of the city.","48.7299182, 2.3732304",48.7299182,2.3732304,51,0,0,0
Salzburg Hauptbahnhof,Train Station,Austria,Salzburg,,"47.8130272, 13.0450386",47.8130272,13.0450386,51,1,0.01960784314,2
Barrio de Santa Cruz,City Center,Spain,Sevilla,"A charming neighborhood in the historic center of Seville, known for its narrow streets and traditional architecture.","37.3842288, -5.9903422",37.3842288,-5.9903422,51,3,0.05882352941,9
Plaza de Armas Bus Station,Bus Station,Spain,Sevilla,"The main bus station in Seville, operating national and international routes.","37.3917064, -6.003286699999999",37.3917064,-6.0032867,51,1,0.01960784314,5
New Town,Neighbourhood,Czech Republic,Prague,,"50.0758425, 14.419064",50.0758425,14.419064,51,8,0.1568627451,2
Gare do Oriente,Train Station,Portugal,Lisbon,"One of the main train stations in Lisbon, serving high-speed trains, regional trains, and the metro system.","38.7678423, -9.0993449",38.7678423,-9.0993449,50,0,0,0
MEO Arena,,Portugal,Lisbon,,"38.7685312, -9.0940297",38.7685312,-9.0940297,50,0,0,0
Bairro Alto,City Center,Portugal,Lisbon,"A popular neighborhood known for its vibrant nightlife, traditional fado music, and charming atmosphere.","38.7128331, -9.1450582",38.7128331,-9.1450582,50,4,0.08,17
Picasso Museum,Museum,Spain,Malaga,"A museum dedicated to the works of Pablo Picasso, one of the city's most famous residents.","36.7217363, -4.4184291",36.7217363,-4.4184291,50,0,0,7
Crown Melbourne,Tourist Attraction,Australia,Melbourne,"A large entertainment complex with a casino, hotels, restaurants, and shopping options.","-37.8242257, 144.9575337",-37.8242257,144.9575337,50,6,0.12,3
Gare do Oriente (Estação do Oriente),,Portugal,Lisbon,,"38.767851, -9.0995005",38.767851,-9.0995005,50,0,0,0
Picasso Museum Málaga,Museum,Spain,Malaga,"A museum dedicated to the works of Pablo Picasso, who was born in Malaga.","36.7217363, -4.4184291",36.7217363,-4.4184291,50,0,0,7
Parque das Nações,City Center,Portugal,Lisbon,"A modern district in Lisbon, built for the 1998 World Expo, featuring attractions such as the Vasco da Gama Tower and Lisbon Oceanarium.","38.7686316, -9.095858",38.7686316,-9.095858,50,0,0,0
Pavilhao Atlantico,Stadium,Portugal,Lisbon,"A multi-purpose arena in Lisbon, hosting concerts, sporting events, and exhibitions.","38.7685312, -9.0940297",38.7685312,-9.0940297,50,0,0,0
Teatro dell'Opera di Roma,Theatre,Italy,Rome,"The main opera house in Rome, known for its impressive performances and architecture.","41.9006389, 12.4956583",41.9006389,12.4956583,50,12,0.24,14
Birmingham Repertory Theatre,Theatre,United Kingdom,Birmingham,,"52.4793488, -1.9092765",52.4793488,-1.9092765,50,4,0.08,3
Kalverstraat,Landmark,Netherlands,Amsterdam,"A major shopping street in Amsterdam, known for its many shops, cafés, and restaurants.","52.3700767, 4.8913845",52.3700767,4.8913845,50,3,0.06,7
New Theatre Oxford,Theatre,United Kingdom,Oxford,,"51.7539714, -1.2598971",51.7539714,-1.2598971,50,6,0.12,8
Juliusz Słowacki Theatre,Theatre,Poland,Krakow,"A historic theatre, one of the oldest in Poland, known for its opera and ballet performances.","50.0639313, 19.9428604",50.0639313,19.9428604,49,2,0.04081632653,11
Oxford Covered Market,City Center,United Kingdom,Oxford,"A historic indoor market selling a variety of goods, from fresh produce and gourmet foods to clothing and souvenirs.","51.752769, -1.2568029",51.752769,-1.2568029,49,6,0.1224489796,8
Musée Saint-Raymond,Museum,France,Toulouse ,"An archaeological museum showcasing the history of Toulouse from ancient times to the Middle Ages. It features a collection of over 2,000 artifacts, including mosaics, sculptures, and everyday objects.","43.60783259999999, 1.4410633",43.6078326,1.4410633,49,4,0.08163265306,0
Basilica of St. Sernin,Landmark,France,Toulouse ,"A Romanesque church in Toulouse, known for its striking architecture and historical significance. It is one of the largest remaining Romanesque churches in Europe and a UNESCO World Heritage Site.","43.6083156, 1.4418039",43.6083156,1.4418039,49,4,0.08163265306,0
Spanish Steps,Landmark,Italy,Rome,"A famous set of steps in Rome, known for its beautiful design and scenic views of the city.","41.90599, 12.482775",41.90599,12.482775,49,3,0.0612244898,5
Quartier de la Porte-Saint-Martin,Neighbourhood,France,Paris,,"48.8722485, 2.36125",48.8722485,2.36125,49,4,0.08163265306,16
Nottingham Playhouse,Theatre,United Kingdom,Nottingham,,"52.953882, -1.156135",52.953882,-1.156135,49,10,0.2040816327,5
Frankfurt Hauptbahnhof,Train Station,Germany,Frankfurt,,"50.1071439, 8.6637837",50.1071439,8.6637837,49,0,0,0
Anfield,Stadium,United Kingdom,Liverpool,,"53.4327564, -2.954592",53.4327564,-2.954592,48,0,0,0
Jerónimos,Neighbourhood,Spain,Madrid,,"40.415072, -3.6932785",40.415072,-3.6932785,48,7,0.1458333333,2
York Theatre Royal,Theatre,United Kingdom,York,,"53.9618741, -1.0853183",53.9618741,-1.0853183,48,11,0.2291666667,5
Piazza di Spagna,City Center,Italy,Rome,"A famous city square in Rome, known for its iconic Spanish Steps and sweeping views of the city.","41.9056798, 12.4822062",41.9056798,12.4822062,48,3,0.0625,6
Roman Forum,Landmark,Italy,Rome,"A historic site in Rome, known for its ancient ruins and important role in the city's history.","41.8920906, 12.4864378",41.8920906,12.4864378,47,2,0.04255319149,3
Wien Mitte - Landstraße,,Austria,Vienna,,"48.2061449, 16.3852368",48.2061449,16.3852368,47,0,0,3
Oxford Castle,Landmark,United Kingdom,Oxford,"A medieval castle that has been converted into a visitor attraction, offering tours and events.","51.7516353, -1.2626461",51.7516353,-1.2626461,47,7,0.1489361702,9
Plaza de Cibeles,Landmark,Spain,Madrid,"A famous square in Madrid, featuring a stunning fountain and iconic buildings.","40.4194255, -3.6933646",40.4194255,-3.6933646,47,5,0.1063829787,4
Gloucester Green Bus Station,Bus Station,United Kingdom,Oxford,"The main bus station in Oxford, serving both national and international routes.","51.75403499999999, -1.2624187",51.754035,-1.2624187,46,7,0.152173913,9
Budapest Keleti,Train Station,Hungary,Budapest,,"47.5004423, 19.0839882",47.5004423,19.0839882,46,0,0,1
Budapest Keleti Railway Station,Train Station,Hungary,Budapest,"The largest and busiest train station in Budapest, serving high-speed and regional trains.","47.5004423, 19.0839882",47.5004423,19.0839882,46,0,0,1
Lisbon Cathedral,Landmark,Portugal,Lisbon,"The oldest church in Lisbon, known for its Gothic architecture and religious significance.","38.7098339, -9.1329535",38.7098339,-9.1329535,46,3,0.0652173913,7
Symphony Hall,Theatre,United Kingdom,Birmingham,,"52.4785639, -1.9101092",52.4785639,-1.9101092,46,3,0.0652173913,1
Portsmouth Harbour Station,Train Station,United Kingdom,Portsmouth,,"50.7971719, -1.1077784",50.7971719,-1.1077784,46,3,0.0652173913,1
Kraków Barbican,Landmark,Poland,Krakow,"A fortified outpost dating back to the 15th century, a remnant of the city's medieval fortifications.","50.0654718, 19.9416613",50.0654718,19.9416613,45,1,0.02222222222,12
Birmingham Airport,Airport,United Kingdom,Birmingham,,"52.4523739, -1.7435082",52.4523739,-1.7435082,45,7,0.1555555556,0
Estació de França,Train Station,Spain,Barcelona,,"41.384037, 2.186491",41.384037,2.186491,45,4,0.08888888889,6
Arena Garibaldi,Stadium,Italy,Pisa,,"43.7252957, 10.4002021",43.7252957,10.4002021,44,1,0.02272727273,0
Oxford Playhouse,Theatre,United Kingdom,Oxford,,"51.754855, -1.2608496",51.754855,-1.2608496,44,6,0.1363636364,8
Union Station,Train Station,United States,Chicago,,"41.8786738, -87.6403334",41.8786738,-87.6403334,44,0,0,0
Venice Marco Polo Airport,Airport,Italy,Venice,,"45.5046844, 12.3466295",45.5046844,12.3466295,44,0,0,0
Naschmarkt,Landmark,Austria,Schwechat,"A bustling market in Vienna, offering a variety of fresh produce, local delicacies, and international cuisine.","48.1986178, 16.3636494",48.1986178,16.3636494,44,2,0.04545454545,2
Naschmarkt,City Center,Austria,Vienna,"The largest and most popular market in Vienna, offering a wide range of fresh produce, as well as restaurants, cafes, and international food stalls.","48.1986178, 16.3636494",48.1986178,16.3636494,44,2,0.04545454545,2
Malaga Roman Theatre,Landmark,Spain,Malaga,A well-preserved ancient Roman theatre located in the city center.,"36.7211729, -4.416823",36.7211729,-4.416823,44,0,0,6
Old Trafford,Stadium,United Kingdom,Manchester,"One of the most iconic football stadiums in the world, home to Manchester United F.C.","53.462094, -2.2766419",53.462094,-2.2766419,44,4,0.09090909091,0
Powerhouse Museum,Museum,Australia,Sydney,"A science and technology museum located in Sydney, with interactive exhibits and a large collection of objects.","-33.878518, 151.1995418",-33.878518,151.1995418,44,1,0.02272727273,1
Pioneer Square,City Center,United States,Seattle,"The historic heart of Seattle, featuring a mix of art galleries, restaurants, and unique shops.","47.6017382, -122.3320425",47.6017382,-122.3320425,44,2,0.04545454545,4
Puerta de Alcalá,Landmark,Spain,Madrid,"A triumphal arch and one of the most famous symbols of Madrid, located in the Retiro Park.","40.419992, -3.688737",40.419992,-3.688737,44,3,0.06818181818,1
Birmingham Snow Hill,Train Station,United Kingdom,Birmingham,,"52.4828589, -1.8984066",52.4828589,-1.8984066,44,7,0.1590909091,7
O'Hare International Airport,Airport,United States,Chicago,,"41.9802588, -87.9089858",41.9802588,-87.9089858,44,0,0,0
Aberdeen Station,Train Station,United Kingdom,Aberdeen,,"57.1436377, -2.0987651",57.1436377,-2.0987651,44,4,0.09090909091,5
Calle de Alcalá,City Center,Spain,Madrid,"One of the longest and most important streets in Madrid, connecting the city center to its outskirts.","40.4202097, -3.6878564",40.4202097,-3.6878564,44,3,0.06818181818,1
University Street Station,,United States,Seattle,,"47.6078238, -122.3356262",47.6078238,-122.3356262,43,2,0.04651162791,1
Erdberg Bus Station,Bus Station,Austria,Vienna,"The largest and busiest bus station in Vienna, serving as a major hub for national and international bus routes.","48.1907546, 16.4142212",48.1907546,16.4142212,43,5,0.1162790698,3
Belfast Central Station,Train Station,United Kingdom,Belfast,,"54.59524740000001, -5.9172408",54.5952474,-5.9172408,43,3,0.06976744186,0
George Best Belfast City Airport,Airport,United Kingdom,Belfast,,"54.6176103, -5.8718378",54.6176103,-5.8718378,43,1,0.02325581395,0
City Botanic Gardens,Tourist Attraction,Australia,Brisbane,"A historic botanical garden in Brisbane, featuring a variety of plant species and a riverfront location.","-27.4751331, 153.0299963",-27.4751331,153.0299963,43,6,0.1395348837,4
Amsterdam Sloterdijk Station,Train Station,Netherlands,Amsterdam,"A major train station in Amsterdam, serving as a hub for regional trains.","52.3890302, 4.838297499999999",52.3890302,4.8382975,42,0,0,0
Tokyo Station,Train Station,Japan,Tokyo,"The busiest train station in Tokyo and one of the largest in Japan, serving both regional and high-speed trains.","35.6812996, 139.7670658",35.6812996,139.7670658,42,1,0.02380952381,0
Moulin Rouge,Theatre,France,Paris,"A cabaret in Paris, known for its traditional French can-can dance and hosting a variety of shows and performances.","48.8841232, 2.3322519",48.8841232,2.3322519,42,4,0.09523809524,4
Seaport Village,Tourist Attraction,United States,San Diego,A waterfront shopping and dining complex with picturesque views of the San Diego Bay and Coronado Bridge.,"32.7090645, -117.1709366",32.7090645,-117.1709366,42,3,0.07142857143,1
Masaryk Station,,Czech Republic,Prague,,"50.087982, 14.4326526",50.087982,14.4326526,42,4,0.09523809524,1
Brisbane Botanic Gardens,Tourist Attraction,Australia,Brisbane,"A large botanical garden in Brisbane, featuring a variety of plant species and walking trails.","-27.4741832, 153.0307588",-27.4741832,153.0307588,41,6,0.1463414634,5
Plaza de la Merced,City Center,Spain,Malaga,"A lively square in the heart of the city, surrounded by cafes and restaurants.","36.723619, -4.4172399",36.723619,-4.4172399,41,0,0,8
Charles Bridge,,Czech Republic,Prague,,"50.0866392, 14.4101723",50.0866392,14.4101723,41,9,0.2195121951,6
Parc Güell,Landmark,Spain,Barcelona,A public park with gardens and architectural elements designed by Antoni Gaudí.,"41.4144948, 2.1526945",41.4144948,2.1526945,41,1,0.0243902439,0
Safeco Field,Stadium,United States,Seattle,A baseball stadium that serves as the home field for the Seattle Mariners.,"47.591472, -122.3325833",47.591472,-122.3325833,40,2,0.05,0
T-Mobile Park,Stadium,Canada,Seattle,,"47.591472, -122.3325832",47.591472,-122.3325832,40,2,0.05,0
Quartier Saint-Georges,Neighbourhood,France,Paris,,"48.88036049999999, 2.333799",48.8803605,2.333799,39,4,0.1025641026,3
Peretola Airport (Florence Airport),Airport,Italy,Florence,,"43.8094619, 11.2027587",43.8094619,11.2027587,39,1,0.02564102564,0
Quartier de la Folie‑Méricourt,Neighbourhood,France,Paris,,"48.8669914, 2.3720624",48.8669914,2.3720624,39,3,0.07692307692,8
The Malta Experience,Museum,Malta,Valetta,A multimedia show that provides an overview of Malta's history and culture.,"35.8998054, 14.5187183",35.8998054,14.5187183,39,4,0.1025641026,2
Ashmolean Museum,Museum,United Kingdom,Oxford,"The University of Oxford's museum of art and archaeology, with a vast collection of artifacts from around the world.","51.75542799999999, -1.2600725",51.755428,-1.2600725,39,6,0.1538461538,7
Palacio de Viana,Museum,Spain,Cordoba,"A magnificent palace and museum in Córdoba, housing a rich collection of art, furniture, and antiques.","37.8886436, -4.7740512",37.8886436,-4.7740512,38,0,0,2
Princess of Wales Theatre,Theatre,Canada,Toronto,,"43.64697830000001, -79.3892259",43.6469783,-79.3892259,38,3,0.07894736842,5
Pike Place Market,Tourist Attraction,United States,Seattle,"A popular public market known for its fresh produce, specialty foods, and local crafts.","47.6096659, -122.3421671",47.6096659,-122.3421671,38,0,0,1
Norwich Playhouse,Theatre,United Kingdom,Norwich,,"52.6321636, 1.2945843",52.6321636,1.2945843,38,8,0.2105263158,0
Real Alcázar,Landmark,Spain,Sevilla,"A stunning palace and gardens, recognized as a UNESCO World Heritage Site.","37.3830519, -5.9902257",37.3830519,-5.9902257,38,3,0.07894736842,6
Alicante-Terminal Train Station,Train Station,Spain,Alicante,"The main train station in Alicante, serving high-speed and regional train routes.","38.3445835, -0.4955236",38.3445835,-0.4955236,38,0,0,5
Praça do Comércio,City Center,Portugal,Lisbon,"A picturesque square in the heart of Lisbon, known for its grand architecture, lively atmosphere, and historical significance.","38.7082152, -9.1367268",38.7082152,-9.1367268,38,5,0.1315789474,6
Acorn Theatre,Theatre,United Kingdom,Penzance,,"50.117808, -5.5373306",50.117808,-5.5373306,38,8,0.2105263158,3
Real Alcázar de Sevilla,,Spain,Sevilla,,"37.3830519, -5.9902257",37.3830519,-5.9902257,38,3,0.07894736842,6
New Theatre,Theatre,United Kingdom,Cardiff,,"51.48361620000001, -3.1754451",51.4836162,-3.1754451,37,6,0.1621621622,4
Stade Roland Garros,Stadium,France,Paris,"The venue for the French Open tennis tournament, located in the Bois de Boulogne park in Paris.","48.8468727, 2.2500214",48.8468727,2.2500214,37,0,0,0
Adelaide Festival Centre,Theatre,Australia,Adelaide,,"-34.919571, 138.598093",-34.919571,138.598093,37,2,0.05405405405,2
Tullamarine Airport,Airport,Australia,Melbourne,,"-37.6708716, 144.8430578",-37.6708716,144.8430578,37,0,0,0
Melbourne Airport,Airport,Australia,Melbourne,The primary airport serving Melbourne and the second busiest airport in Australia.,"-37.6708716, 144.8430578",-37.6708716,144.8430578,37,0,0,0
Glasgow Airport,Airport,United Kingdom,Glasgow,,"55.87004150000001, -4.4345433",55.8700415,-4.4345433,36,1,0.02777777778,0
Glasgow International Airport,Airport,Scotland,Glasgow,The main international airport serving Glasgow and the surrounding areas.,"55.87004150000001, -4.4345433",55.8700415,-4.4345433,36,1,0.02777777778,0
Greyhound Bus Station,Bus Station,United States,Seattle,A major bus station serving both national and international routes.,"47.5920245, -122.3264926",47.5920245,-122.3264926,36,2,0.05555555556,0
Suburban Station,,United States,Philadelphia,,"39.95421899999999, -75.1667633",39.954219,-75.1667633,36,1,0.02777777778,6
Southampton Central Station,Train Station,United Kingdom,Southampton,,"50.9072342, -1.4133598",50.9072342,-1.4133598,36,2,0.05555555556,3
Mozarteum,Theatre,Austria,Salzburg,,"47.8038789, 13.0436663",47.8038789,13.0436663,36,1,0.02777777778,0
Glasgow International Airport,Airport,United Kingdom,Glasgow,The main international airport serving Glasgow and the surrounding areas.,"55.87004150000001, -4.4345433",55.8700415,-4.4345433,36,1,0.02777777778,0
Canberra Theatre Centre,Theatre,Australia,Canberra,,"-35.2817024, 149.1305067",-35.2817024,149.1305067,35,2,0.05714285714,1
Westbahnhof area,Neighbourhood,Austria,Vienna,,"48.1967991, 16.337702",48.1967991,16.337702,35,1,0.02857142857,2
Westbahnhof,Train Station,Austria,Vienna,"A major train station in Vienna, serving high-speed trains to other European cities.","48.1967991, 16.337702",48.1967991,16.337702,35,1,0.02857142857,2
Mariahilferstrasse,City Center,Austria,Vienna,"The longest and one of the most popular shopping streets in Vienna, offering a variety of shops, restaurants, and cafes.","48.1951061, 16.3374628",48.1951061,16.3374628,35,1,0.02857142857,2
Mariahilfer Strasse,City Center,Austria,Vienna,"One of Vienna's most popular shopping streets, home to a variety of shops, restaurants, and cafes.","48.1951061, 16.3374628",48.1951061,16.3374628,35,1,0.02857142857,2
Estádio José Alvalade,,Portugal,Lisbon,,"38.7612216, -9.16179",38.7612216,-9.16179,35,4,0.1142857143,1
Seattle Art Museum,Museum,United States,Seattle,"The largest art museum in the Pacific Northwest, featuring a wide collection of art from around the world.","47.6061389, -122.3328481",47.6061389,-122.3328481,35,2,0.05714285714,2
Seattle Central Library,Landmark,United States,Seattle,A unique and modern architectural landmark that houses the main branch of the Seattle Public Library.,"47.6066621, -122.3321837",47.6066621,-122.3321837,35,2,0.05714285714,1
Le Panier,City Center,France,Marseille,"The oldest neighborhood in Marseille, known for its narrow streets, shops, and restaurants.","43.299913, 5.3680905",43.299913,5.3680905,35,6,0.1714285714,3
Wien Westbahnhof,Train Station,Austria,Vienna,,"48.1967991, 16.337702",48.1967991,16.337702,35,1,0.02857142857,2
5th Avenue Theatre,Theatre,Canada,Seattle,,"47.609188, -122.3338546",47.609188,-122.3338546,35,3,0.08571428571,1
Salzburger Landestheater,Theatre,Austria,Salzburg,,"47.8027871, 13.0431332",47.8027871,13.0431332,35,1,0.02857142857,0
Puskás Aréna,Stadium,Hungary,Budapest,,"47.4978829, 19.0560887",47.4978829,19.0560887,34,2,0.05882352941,3
Alcazaba of Málaga,Landmark,Spain,Malaga,"A palatial fortification built in the early 11th century, located in the city center.","36.7211348, -4.4158666",36.7211348,-4.4158666,34,0,0,5
Canberra Bus Station,Bus Station,Australia,Canberra,,"-35.2801846, 149.1310324",-35.2801846,149.1310324,34,2,0.05882352941,1
Alcazaba de Málaga,,Spain,Malaga,,"36.7214804, -4.4159583",36.7214804,-4.4159583,34,0,0,5
Metropolitan Opera House,Theatre,United States,New York,,"40.7727076, -73.9839082",40.7727076,-73.9839082,33,2,0.06060606061,1
Quartier Saint‑Thomas‑d'Aquin,Neighbourhood,France,Paris,,"48.8553378, 2.3261233",48.8553378,2.3261233,33,3,0.09090909091,0
Lincoln Center for the Performing Arts,Theatre,United States,New York,,"40.7724641, -73.9834889",40.7724641,-73.9834889,33,2,0.06060606061,1
San Diego Zoo,Tourist Attraction,United States,San Diego,"One of the most famous and largest zoos in the world, known for its conservation efforts and diverse collection of animals.","32.7360353, -117.1509849",32.7360353,-117.1509849,32,0,0,0
Trastevere,City Center,Italy,Rome,"A charming neighborhood in Rome, known for its narrow streets, lively atmosphere, and delicious food.","41.8848294, 12.4704017",41.8848294,12.4704017,32,3,0.09375,2
North Station,,United States,Boston,,"42.3662621, -71.06111369999999",42.3662621,-71.0611137,32,0,0,2
Palace of Culture and Science,Landmark,Poland,Warsaw,"A historic and iconic building in Warsaw, serving as a cultural center and tourist attraction.","52.231838, 21.005995",52.231838,21.005995,32,3,0.09375,2
Waterfront Station,,Canada,Vancouver,,"49.2855667, -123.1115473",49.2855667,-123.1115473,32,0,0,5
Palacio de Bellas Artes,Theatre,Mexico,Mexico City,,"19.4352, -99.1412",19.4352,-99.1412,32,4,0.125,5
Chamartín,Neighbourhood,Spain,Madrid,,"40.4615174, -3.6865844",40.4615174,-3.6865844,32,0,0,0
Auditorio Nacional,Theatre,Mexico,Mexico City,,"19.4248097, -99.19492559999999",19.4248097,-99.1949256,32,1,0.03125,0
Central Market of Alicante,Landmark,Spain,Alicante,"A bustling market in the city centre of Alicante, offering a variety of fresh produce, seafood, and other local products.","38.3501206, -0.487084",38.3501206,-0.487084,32,0,0,2
Madrid Chamartín,Train Station,Spain,Madrid,,"40.4615174, -3.6865844",40.4615174,-3.6865844,32,0,0,0
Museo del Vidrio y Cristal,Museum,Spain,Malaga,"A museum dedicated to glass and crystal art, housed in a beautiful 18th century mansion.","36.7258381, -4.4213064",36.7258381,-4.4213064,32,1,0.03125,5
King's Theatre,Theatre,United Kingdom,Edinburgh,,"55.9419884, -3.2031023",55.9419884,-3.2031023,31,4,0.1290322581,4
Greyhound near 30th St,,United States,Philadelphia,,"39.9559902, -75.1830201",39.9559902,-75.1830201,31,0,0,0
Queensland Museum and Sciencentre,Museum,Australia,Brisbane,"A museum featuring natural history and cultural exhibits, including a children's science center.","-27.473109, 153.0181887",-27.473109,153.0181887,31,2,0.06451612903,1
Jorge Chávez International Airport,Airport,Peru,Lima,,"-12.0297011, -77.11622779999999",-12.0297011,-77.1162278,31,0,0,0
Teatro La Fenice,Theatre,Italy,Venice,,"45.4336376, 12.3337579",45.4336376,12.3337579,31,3,0.09677419355,2
Sete Rios Station & Bus Terminal,,Portugal,Lisbon,,"38.7403735, -9.1679201",38.7403735,-9.1679201,31,0,0,0
Balboa Theatre,Theatre,United States,San Diego,,"32.7143416, -117.1613167",32.7143416,-117.1613167,31,5,0.1612903226,2
30th Street Station,,United States,Philadelphia,,"39.9560371, -75.18188909999999",39.9560371,-75.1818891,31,0,0,0
Sete Rios Bus Station,Bus Station,Portugal,Lisbon,"One of the busiest bus stations in Lisbon, connecting to other cities in Portugal and Europe.","38.7416463, -9.1662331",38.7416463,-9.1662331,31,0,0,0
Wapping Wharf,Neighbourhood,United Kingdom,Bristol,,"51.446685, -2.5994588",51.446685,-2.5994588,31,2,0.06451612903,2
Lisbon Zoo,Attraction,Portugal,Lisbon,"A popular zoo in Lisbon, home to over 2,000 animals and featuring attractions such as a dolphin show and a cable car ride.","38.7430914, -9.1692039",38.7430914,-9.1692039,31,0,0,0
Pisa Centrale,Train Station,Italy,Pisa,,"43.7084616, 10.3984678",43.7084616,10.3984678,31,1,0.03225806452,5
